1	-1	1	5
2	1	1	4
2	1	2	1
3	-1	1	3
3	1	2	2
4	-1	1	4
4	1	1	4
5	-1	1	4
5	1	3	1
6	-1	1	3
6	-1	3	1
6	1	1	3
6	1	3	1
7	-1	1	5
7	1	1	5
8	-1	1	3
8	1	3	1
8	1	4	1
9	-1	1	3
9	-1	2	2
9	1	5	1
10	-1	1	2
10	-1	2	2
10	1	3	2
10	1	4	1
10	1	5	1
11	-1	12	1
12	-1	6	3
13	1	6	3
14	-1	6	3
14	1	7	1
15	-1	6	2
15	1	7	2
16	-1	7	2
16	1	7	2
17	-1	6	4
17	1	8	1
18	-1	6	3
18	1	6	4
19	-1	6	2
19	-1	7	1
19	1	6	2
19	1	8	1
20	-1	6	3
20	-1	8	1
20	1	6	3
20	1	8	1
21	-1	8	2
21	1	8	2
22	1	13	1
23	-1	9	3
24	1	9	3
25	-1	9	3
25	1	10	1
26	-1	9	2
26	1	10	2
27	-1	10	2
27	1	10	2
28	-1	9	4
28	1	11	1
29	-1	9	3
29	1	9	4
30	-1	9	2
30	-1	10	1
30	1	9	2
30	1	11	1
31	-1	9	3
31	-1	11	1
31	1	9	3
31	1	11	1
32	-1	11	2
32	1	11	2
33	1	14	1
